Acedamic_percentage_in_Operating_Systems,percentage_in_Algorithms,Percentage_in_Programming_Concepts,Percentage_in_Software_Engineering,Percentage_in_Computer_Networks,Percentage_in_Electronics_Subjects,Percentage_in_Computer_Architecture,Percentage_in_Mathematics,Percentage_in_Communication_skills,Logical_quotient_rating,coding_skills_rating,self-learning_capability,Extra-courses_did,certifications,workshops,talenttests_taken,reading_and_writing_skills,memory_capability_score,Interested_subjects,interested_career_area,Job_Higher_Studies,Suggested_elective_Course
93,78,62,61,61,92,83,77,67,5,5,yes,yes,shell programming,hacking,yes,medium,excellent,IOT,cloud computing,higherstudies,17
89,78,87,90,88,82,86,60,89,9,4,no,no,app development,system designing,yes,poor,medium,programming,Business process analyst,higherstudies,18
89,78,67,60,83,63,76,79,74,6,7,no,no,app development,data science,no,poor,medium,parallel computing,system developer,job,14
72,80,65,94,73,65,91,70,79,8,7,yes,no,python,web technologies,yes,medium,medium,data engineering,system developer,higherstudies,15
68,75,78,65,65,81,69,64,84,6,5,no,no,hadoop,web technologies,yes,excellent,poor,cloud computing,Business process analyst,higherstudies,0
89,84,65,65,73,75,65,91,88,8,9,no,no,r programming,system designing,yes,medium,poor,programming,security,higherstudies,22
67,75,60,61,87,75,76,79,92,1,2,yes,yes,app development,web technologies,no,poor,poor,programming,cloud computing,job,1
94,60,64,62,66,81,66,90,63,6,2,yes,no,app development,system designing,no,poor,medium,programming,testing,job,29
78,68,75,62,81,79,85,72,65,9,4,yes,no,hadoop,game development,yes,medium,poor,networks,developer,job,6
70,73,73,69,76,84,64,90,60,2,5,yes,yes,full stack,data science,no,medium,excellent,data engineering,Business process analyst,higherstudies,25
93,84,87,61,89,85,75,85,90,1,4,no,yes,r programming,database security,no,medium,excellent,Management,system developer,higherstudies,26
72,74,92,80,86,71,77,91,64,6,1,yes,no,information security,testing,no,medium,medium,Computer Architecture,Business process analyst,job,10
74,70,73,63,60,60,66,75,90,3,4,no,yes,distro making,cloud computing,no,excellent,excellent,networks,security,job,6
79,77,66,85,85,81,72,66,68,4,8,yes,no,shell programming,web technologies,yes,medium,excellent,Computer Architecture,cloud computing,higherstudies,26
93,87,80,66,82,73,75,76,94,9,5,no,no,full stack,system designing,yes,medium,medium,Computer Architecture,cloud computing,job,29
90,85,67,81,76,70,81,90,92,8,9,no,yes,distro making,database security,no,excellent,medium,cloud computing,Business process analyst,job,9
67,75,71,82,91,82,92,75,91,7,9,yes,no,full stack,web technologies,no,excellent,medium,Management,cloud computing,higherstudies,4
63,80,80,82,84,63,61,75,88,9,9,no,yes,python,testing,yes,excellent,medium,cloud computing,system developer,job,18
93,92,70,93,73,80,66,79,64,8,4,no,no,app development,web technologies,no,excellent,excellent,parallel computing,developer,job,30
71,69,61,88,65,72,61,79,90,9,5,yes,no,r programming,database security,no,medium,medium,Software Engineering,cloud computing,higherstudies,20
91,91,76,62,71,90,89,77,63,2,4,no,yes,r programming,testing,yes,poor,excellent,Computer Architecture,security,higherstudies,7
72,68,81,80,75,65,66,87,91,2,7,no,yes,information security,testing,yes,poor,medium,IOT,developer,higherstudies,1
65,80,61,68,77,79,78,81,94,7,7,no,yes,python,cloud computing,yes,poor,poor,Software Engineering,testing,higherstudies,12
61,70,66,61,72,77,82,85,68,2,8,yes,yes,machine learning,game development,no,excellent,medium,cloud computing,developer,higherstudies,22
88,93,68,89,68,76,84,88,84,8,9,no,no,machine learning,database security,yes,excellent,poor,Computer Architecture,cloud computing,job,20
78,73,86,91,81,87,73,94,88,8,5,no,yes,shell programming,testing,yes,poor,poor,IOT,security,higherstudies,11
67,92,93,86,72,79,93,60,81,1,1,no,no,machine learning,web technologies,no,medium,medium,Software Engineering,Business process analyst,higherstudies,2
61,70,70,90,66,69,68,92,90,5,5,no,no,app development,cloud computing,no,excellent,poor,Software Engineering,developer,higherstudies,32
73,88,91,71,73,61,68,91,70,2,3,yes,yes,information security,system designing,no,medium,poor,cloud computing,security,job,11
85,91,64,85,67,80,91,64,72,9,7,yes,no,distro making,web technologies,yes,excellent,medium,programming,testing,higherstudies,26
91,79,94,73,89,80,65,94,64,4,3,no,yes,machine learning,hacking,yes,poor,poor,hacking,testing,job,2
72,72,82,72,94,85,86,90,87,5,3,no,yes,information security,database security,no,poor,medium,Software Engineering,testing,job,15
67,63,78,61,87,63,68,76,83,6,6,no,yes,shell programming,hacking,yes,excellent,medium,data engineering,security,higherstudies,15
83,78,81,77,87,89,73,85,64,7,9,yes,no,distro making,game development,yes,excellent,medium,Software Engineering,developer,higherstudies,25
74,82,87,65,67,80,84,67,62,6,6,no,no,hadoop,hacking,no,medium,poor,networks,security,higherstudies,2
86,61,82,76,69,63,80,90,85,1,9,no,yes,shell programming,data science,no,excellent,excellent,Computer Architecture,developer,higherstudies,1
93,75,83,91,70,62,90,88,83,4,1,yes,yes,r programming,web technologies,no,excellent,excellent,programming,testing,higherstudies,22
76,90,62,86,70,80,62,62,78,3,8,yes,yes,machine learning,data science,no,poor,poor,Management,system developer,job,23
75,65,80,80,70,90,65,75,64,8,4,no,no,information security,hacking,yes,medium,poor,IOT,Business process analyst,higherstudies,10
93,63,89,81,68,86,78,71,90,4,6,no,yes,hadoop,system designing,no,poor,excellent,data engineering,testing,higherstudies,9
84,69,87,77,84,83,76,87,60,1,6,yes,no,python,cloud computing,yes,poor,medium,hacking,Business process analyst,higherstudies,3
89,63,83,77,79,79,67,61,71,7,7,yes,yes,r programming,data science,no,excellent,poor,Computer Architecture,Business process analyst,job,7
70,72,94,77,86,77,84,75,73,6,3,no,yes,information security,game development,yes,excellent,excellent,hacking,testing,job,27
86,85,61,77,65,61,90,72,63,5,4,no,no,hadoop,cloud computing,yes,medium,excellent,data engineering,testing,job,31
75,71,77,62,83,88,89,82,87,7,4,yes,yes,distro making,system designing,yes,poor,poor,IOT,Business process analyst,higherstudies,33
66,69,62,82,81,88,67,68,73,5,5,yes,no,hadoop,system designing,no,poor,poor,networks,developer,higherstudies,28
72,80,74,76,65,68,86,71,93,2,8,no,no,information security,database security,yes,excellent,poor,data engineering,cloud computing,higherstudies,27
78,86,74,70,93,90,77,92,84,3,7,no,yes,full stack,testing,yes,poor,poor,Computer Architecture,Business process analyst,job,20
77,60,70,84,92,68,88,88,60,6,6,no,no,app development,cloud computing,yes,poor,excellent,hacking,security,job,21
92,60,70,66,86,61,78,75,89,6,1,yes,no,full stack,game development,yes,excellent,excellent,networks,developer,higherstudies,8
65,80,85,91,74,82,62,85,88,9,9,no,yes,shell programming,hacking,yes,poor,poor,parallel computing,Business process analyst,job,18
90,67,75,78,62,77,83,84,84,7,3,no,yes,python,game development,no,poor,medium,Management,security,higherstudies,30
62,82,93,61,67,63,78,85,73,1,7,yes,yes,information security,database security,yes,medium,medium,networks,system developer,job,6
65,80,72,90,88,75,82,77,80,9,3,no,yes,information security,web technologies,no,medium,excellent,cloud computing,system developer,job,18
76,93,66,69,78,62,63,94,78,3,9,no,yes,app development,cloud computing,no,medium,excellent,networks,developer,higherstudies,5
62,75,69,82,69,84,87,61,71,7,2,no,yes,python,hacking,yes,excellent,excellent,networks,testing,job,32
82,94,74,66,72,63,93,71,94,9,2,no,no,python,cloud computing,no,medium,medium,data engineering,developer,job,6
86,61,62,88,68,61,77,75,69,1,7,no,no,machine learning,system designing,no,medium,medium,hacking,cloud computing,job,2
94,70,62,86,79,85,86,90,84,3,1,no,yes,information security,system designing,no,medium,poor,parallel computing,Business process analyst,higherstudies,12
67,70,86,83,60,83,84,65,80,6,3,no,no,app development,web technologies,no,poor,medium,IOT,Business process analyst,higherstudies,11
72,69,79,81,86,78,77,68,92,7,2,no,no,app development,data science,no,medium,medium,hacking,developer,job,9
91,90,72,61,90,89,94,93,76,7,9,yes,no,machine learning,web technologies,yes,poor,excellent,Software Engineering,developer,job,15
93,71,63,71,76,82,85,80,93,9,7,no,yes,shell programming,game development,yes,poor,medium,Computer Architecture,Business process analyst,job,18
88,72,92,63,86,75,62,91,65,4,5,yes,no,r programming,data science,yes,medium,excellent,Software Engineering,developer,job,18
73,61,72,88,81,91,74,87,86,9,9,yes,yes,app development,hacking,no,medium,excellent,Software Engineering,cloud computing,job,14
66,76,90,61,63,84,62,67,75,3,1,yes,yes,distro making,database security,yes,excellent,medium,Computer Architecture,security,job,27
61,73,74,74,75,75,65,82,65,1,5,no,yes,full stack,game development,yes,excellent,poor,cloud computing,testing,higherstudies,28
65,87,83,87,88,90,78,94,63,2,6,no,no,app development,cloud computing,no,medium,medium,IOT,system developer,job,8
87,80,68,77,80,72,72,68,60,1,6,yes,no,full stack,hacking,no,poor,poor,networks,Business process analyst,higherstudies,24
92,68,62,69,70,83,86,65,68,2,2,yes,no,information security,data science,yes,excellent,excellent,hacking,system developer,higherstudies,27
77,76,66,79,65,75,90,90,66,6,5,yes,no,machine learning,web technologies,no,medium,poor,programming,security,job,5
80,92,76,83,62,92,72,83,83,7,5,yes,no,information security,database security,no,excellent,poor,Management,security,job,30
80,84,81,89,91,88,71,67,68,8,6,yes,yes,distro making,cloud computing,yes,poor,excellent,Management,cloud computing,higherstudies,19
81,68,86,83,91,70,89,76,93,4,2,no,yes,full stack,hacking,no,medium,medium,Management,testing,higherstudies,8
81,60,93,65,77,66,87,83,93,6,2,no,yes,app development,data science,no,poor,medium,hacking,testing,job,12
65,83,76,64,83,91,69,74,66,5,6,no,no,machine learning,game development,yes,medium,poor,cloud computing,Business process analyst,higherstudies,6
92,69,85,68,75,63,65,75,69,3,6,yes,no,shell programming,web technologies,yes,poor,poor,Computer Architecture,testing,higherstudies,12
85,62,84,74,66,89,74,70,66,8,9,yes,yes,python,system designing,yes,poor,poor,Management,system developer,higherstudies,21
67,67,80,64,86,74,91,83,74,2,1,yes,no,shell programming,hacking,no,medium,poor,Software Engineering,testing,job,0
78,87,72,90,94,78,79,64,87,3,9,yes,no,hadoop,testing,no,poor,medium,Computer Architecture,developer,higherstudies,2
88,79,89,81,85,87,86,71,93,9,2,yes,no,app development,data science,no,poor,excellent,Management,Business process analyst,job,32
79,92,94,76,63,72,91,81,67,5,6,no,yes,hadoop,game development,no,medium,medium,Software Engineering,system developer,higherstudies,19
81,67,73,87,86,91,68,62,80,2,7,yes,no,distro making,database security,no,poor,excellent,Software Engineering,Business process analyst,higherstudies,23
93,71,70,89,83,77,63,80,74,4,7,yes,no,r programming,data science,yes,medium,medium,hacking,testing,higherstudies,20
74,86,61,82,78,69,86,61,61,1,8,yes,yes,hadoop,testing,no,excellent,medium,parallel computing,Business process analyst,higherstudies,22
69,91,94,77,83,64,77,91,73,3,6,yes,no,hadoop,database security,no,excellent,excellent,cloud computing,testing,higherstudies,33
79,63,80,83,66,82,82,87,72,7,3,yes,yes,app development,testing,no,poor,poor,cloud computing,developer,job,16
77,72,91,62,85,87,79,73,94,5,5,yes,no,r programming,cloud computing,yes,excellent,excellent,programming,cloud computing,higherstudies,0
72,69,78,73,64,62,75,61,72,2,3,no,no,full stack,data science,no,medium,poor,Computer Architecture,security,higherstudies,33
72,88,89,64,69,92,79,68,89,8,9,yes,no,machine learning,testing,yes,poor,excellent,networks,security,job,15
74,63,76,76,72,75,81,88,88,9,1,yes,yes,full stack,game development,yes,excellent,poor,cloud computing,developer,higherstudies,26
90,91,63,75,86,69,76,90,85,4,9,no,yes,machine learning,cloud computing,yes,poor,medium,Software Engineering,security,job,17
71,73,92,89,69,60,60,81,72,5,1,no,yes,hadoop,database security,yes,excellent,excellent,Management,Business process analyst,higherstudies,14
62,63,87,77,68,72,87,82,61,1,7,no,no,distro making,system designing,yes,excellent,medium,Management,Business process analyst,higherstudies,31
85,85,73,66,64,65,91,70,62,2,3,yes,yes,app development,system designing,yes,excellent,medium,cloud computing,developer,higherstudies,6
81,93,70,91,94,67,75,61,76,5,2,no,no,r programming,cloud computing,yes,medium,poor,cloud computing,Business process analyst,job,27
87,61,60,66,76,87,79,94,61,4,1,no,no,r programming,game development,no,medium,medium,Computer Architecture,developer,higherstudies,19
61,77,79,71,80,85,68,81,70,7,4,yes,yes,distro making,game development,no,poor,medium,hacking,security,job,2
86,68,72,66,89,85,77,83,86,8,7,yes,yes,machine learning,database security,no,medium,excellent,cloud computing,Business process analyst,higherstudies,20
65,89,69,64,92,65,79,81,84,3,6,yes,yes,hadoop,game development,no,excellent,poor,cloud computing,testing,higherstudies,27
62,86,91,63,70,70,63,74,78,9,5,yes,yes,information security,web technologies,yes,excellent,poor,Computer Architecture,security,higherstudies,3
89,77,80,75,85,81,79,61,69,6,4,no,no,distro making,data science,no,excellent,poor,data engineering,security,job,2
78,75,64,80,88,92,67,83,66,9,5,no,no,information security,game development,yes,poor,excellent,Management,system developer,higherstudies,20
82,81,82,61,89,91,65,65,82,5,7,no,no,shell programming,cloud computing,no,poor,medium,parallel computing,system developer,higherstudies,26
78,60,93,63,89,72,65,69,86,3,4,no,no,machine learning,game development,yes,excellent,poor,programming,cloud computing,job,14
80,81,63,74,75,91,80,80,70,2,5,no,yes,shell programming,data science,yes,excellent,poor,Computer Architecture,cloud computing,higherstudies,5
80,63,86,90,61,68,66,61,72,4,6,no,no,distro making,testing,yes,medium,excellent,hacking,Business process analyst,higherstudies,30
66,77,85,65,91,63,78,89,70,4,4,no,yes,app development,system designing,yes,excellent,poor,networks,system developer,higherstudies,2
93,82,90,80,81,69,60,77,87,7,1,yes,no,machine learning,system designing,no,excellent,excellent,Management,Business process analyst,higherstudies,22
90,74,94,76,68,77,61,84,88,7,7,yes,yes,full stack,game development,yes,poor,poor,hacking,security,higherstudies,22
80,75,87,89,68,79,62,88,60,9,7,no,no,shell programming,testing,yes,medium,medium,cloud computing,cloud computing,job,15
88,85,76,91,69,67,63,78,79,4,8,no,yes,r programming,game development,yes,excellent,poor,networks,developer,higherstudies,21
62,68,66,81,82,85,74,64,92,4,5,yes,no,r programming,data science,yes,excellent,excellent,programming,system developer,higherstudies,1
83,67,72,81,65,77,77,74,90,2,7,yes,yes,shell programming,game development,no,excellent,excellent,networks,Business process analyst,higherstudies,32
70,75,61,87,64,79,76,66,92,4,1,yes,yes,machine learning,web technologies,yes,excellent,excellent,Computer Architecture,Business process analyst,higherstudies,20
72,76,77,72,60,64,70,89,73,3,7,yes,yes,full stack,cloud computing,no,poor,poor,cloud computing,developer,job,29
88,80,84,63,76,71,68,74,70,3,9,yes,no,full stack,web technologies,yes,poor,medium,IOT,cloud computing,higherstudies,28
81,85,94,94,88,88,94,66,68,9,3,no,yes,r programming,database security,yes,medium,poor,programming,system developer,job,5
88,63,82,68,63,84,89,66,87,9,8,no,no,machine learning,testing,yes,poor,poor,hacking,developer,higherstudies,13
74,80,89,67,79,67,65,66,80,8,3,yes,yes,shell programming,system designing,no,poor,medium,hacking,security,higherstudies,20
78,67,82,75,72,60,75,83,68,2,4,no,yes,hadoop,testing,no,poor,excellent,Computer Architecture,Business process analyst,job,17
88,80,82,91,77,68,61,91,72,3,7,no,no,app development,data science,yes,excellent,medium,Management,developer,job,2
79,74,60,69,62,89,69,90,92,6,1,no,no,full stack,system designing,no,medium,excellent,Management,cloud computing,higherstudies,2
71,81,90,92,71,84,67,66,63,7,7,yes,yes,shell programming,cloud computing,no,poor,medium,parallel computing,security,job,3
68,93,76,93,89,76,84,65,67,4,9,yes,no,distro making,system designing,yes,excellent,poor,cloud computing,Business process analyst,higherstudies,21
77,80,61,67,83,67,61,81,81,1,8,yes,no,hadoop,system designing,no,medium,poor,networks,cloud computing,higherstudies,27
64,77,77,71,84,60,66,74,62,5,4,no,yes,full stack,game development,yes,excellent,medium,programming,developer,higherstudies,28
63,64,61,64,69,89,64,93,87,1,9,yes,yes,information security,data science,yes,poor,poor,parallel computing,cloud computing,higherstudies,12
85,78,63,86,82,82,85,69,86,6,7,yes,yes,hadoop,testing,no,medium,medium,Software Engineering,system developer,job,12
60,64,84,67,69,89,67,64,91,5,2,no,no,app development,database security,yes,poor,excellent,data engineering,system developer,job,18
79,82,68,84,69,87,81,64,93,1,6,no,yes,shell programming,system designing,yes,poor,poor,Software Engineering,Business process analyst,higherstudies,16
73,73,81,85,71,67,92,70,91,8,5,no,no,hadoop,data science,no,excellent,excellent,programming,developer,job,7
71,79,83,94,83,82,63,88,64,7,4,yes,no,hadoop,system designing,yes,medium,excellent,parallel computing,testing,higherstudies,13
65,94,80,71,91,61,85,91,66,6,9,no,yes,information security,hacking,yes,excellent,poor,Management,Business process analyst,job,27
71,84,82,79,68,94,92,66,93,5,8,no,yes,machine learning,game development,yes,excellent,poor,Management,system developer,job,20
91,82,69,74,69,63,94,83,88,5,7,yes,yes,distro making,system designing,no,medium,poor,Software Engineering,Business process analyst,higherstudies,14
72,70,92,76,86,69,83,74,94,9,6,no,no,information security,game development,no,excellent,excellent,Management,cloud computing,higherstudies,7
75,64,71,91,79,62,86,67,71,3,7,yes,no,r programming,hacking,no,excellent,excellent,networks,system developer,higherstudies,12
94,82,75,86,83,61,93,77,62,8,5,yes,yes,machine learning,web technologies,yes,poor,poor,data engineering,Business process analyst,higherstudies,11
75,69,83,63,86,85,93,93,66,4,9,yes,no,machine learning,testing,yes,excellent,medium,Computer Architecture,security,job,17
87,89,87,61,62,82,66,60,67,4,7,yes,yes,machine learning,data science,no,medium,poor,cloud computing,testing,higherstudies,12
71,72,93,67,91,84,67,92,64,1,8,yes,no,r programming,testing,yes,poor,poor,Management,system developer,higherstudies,22
83,78,89,82,82,74,82,84,62,5,7,yes,no,app development,cloud computing,no,excellent,excellent,networks,Business process analyst,job,18
67,77,77,81,94,81,87,67,64,3,5,no,no,full stack,data science,no,poor,poor,IOT,cloud computing,higherstudies,13
66,84,75,82,64,90,77,64,63,9,4,yes,yes,python,data science,no,poor,medium,hacking,testing,higherstudies,1
63,76,62,93,69,89,80,79,84,9,4,no,no,r programming,database security,no,poor,excellent,parallel computing,system developer,higherstudies,15
76,86,90,93,75,86,64,67,61,3,2,yes,no,information security,data science,yes,medium,medium,parallel computing,developer,higherstudies,9
90,77,67,75,67,71,63,91,77,4,5,yes,yes,distro making,game development,no,medium,medium,hacking,testing,job,13
79,76,74,89,61,69,79,76,85,1,8,no,no,app development,game development,yes,excellent,poor,Computer Architecture,system developer,higherstudies,18
91,62,74,87,66,93,63,70,62,1,3,yes,yes,hadoop,hacking,no,poor,medium,Computer Architecture,testing,job,33
73,75,94,85,84,65,69,81,79,6,9,no,no,shell programming,cloud computing,yes,medium,excellent,Management,security,higherstudies,24
92,73,61,70,93,70,85,61,80,5,1,yes,yes,hadoop,cloud computing,no,medium,medium,networks,cloud computing,job,14
65,76,78,94,92,64,94,94,82,5,2,yes,yes,python,game development,yes,medium,poor,Computer Architecture,testing,higherstudies,9
63,64,86,81,82,71,87,62,74,4,7,yes,yes,information security,web technologies,yes,medium,excellent,data engineering,Business process analyst,higherstudies,31
78,63,63,63,94,85,89,92,63,4,1,no,yes,machine learning,hacking,no,poor,medium,Software Engineering,system developer,higherstudies,10
68,93,61,93,76,71,60,76,91,5,4,yes,yes,shell programming,database security,no,medium,excellent,networks,system developer,higherstudies,6
82,67,93,94,93,79,78,64,64,5,5,no,yes,r programming,database security,no,excellent,excellent,Computer Architecture,developer,job,28
68,68,90,92,61,77,78,80,62,5,7,no,no,hadoop,data science,no,medium,poor,IOT,security,higherstudies,29
87,67,82,92,67,67,83,68,94,9,3,no,yes,information security,database security,yes,poor,poor,IOT,system developer,higherstudies,27
89,80,63,63,75,62,87,67,69,3,8,no,yes,full stack,database security,yes,poor,excellent,data engineering,security,higherstudies,20
78,65,88,64,68,60,83,77,75,3,7,no,no,information security,database security,no,poor,poor,data engineering,Business process analyst,job,7
73,74,68,87,93,73,81,69,90,5,3,no,no,machine learning,hacking,yes,excellent,poor,Software Engineering,security,job,10
61,70,84,66,73,70,82,81,64,7,3,yes,yes,distro making,game development,no,poor,excellent,IOT,testing,higherstudies,2
73,86,68,69,60,85,81,91,60,6,8,yes,no,hadoop,data science,yes,medium,excellent,hacking,developer,job,16
76,78,73,76,91,69,83,85,64,2,1,yes,yes,shell programming,hacking,no,poor,excellent,Management,system developer,higherstudies,20
73,88,85,80,74,74,84,68,72,5,9,no,yes,information security,game development,no,excellent,excellent,Computer Architecture,cloud computing,higherstudies,25
71,71,75,61,90,84,63,92,91,7,6,yes,no,app development,game development,no,excellent,excellent,IOT,security,higherstudies,24
74,77,60,73,78,90,60,76,87,8,6,yes,no,machine learning,web technologies,no,medium,medium,Computer Architecture,Business process analyst,higherstudies,7
87,94,66,88,83,90,84,93,90,5,7,no,no,app development,cloud computing,no,excellent,excellent,IOT,testing,higherstudies,16
73,82,79,62,83,66,70,60,64,2,2,yes,no,app development,system designing,yes,medium,medium,Software Engineering,cloud computing,higherstudies,26
68,90,78,87,71,93,92,89,81,5,2,yes,no,shell programming,testing,no,poor,medium,data engineering,cloud computing,higherstudies,8
87,66,69,80,90,88,81,60,83,5,6,yes,yes,distro making,database security,no,poor,excellent,Management,testing,higherstudies,15
81,72,76,74,62,86,74,91,62,9,5,yes,no,hadoop,cloud computing,no,medium,poor,parallel computing,Business process analyst,higherstudies,27
73,81,85,71,86,77,91,62,89,3,2,no,yes,r programming,web technologies,yes,medium,excellent,networks,Business process analyst,job,9
69,65,71,80,62,89,88,74,66,2,6,no,no,information security,web technologies,no,excellent,medium,data engineering,security,higherstudies,19
68,60,62,90,60,78,82,80,79,7,5,no,yes,machine learning,database security,yes,poor,medium,programming,system developer,higherstudies,6
66,73,86,71,88,78,85,90,82,6,9,no,no,machine learning,cloud computing,no,poor,medium,networks,system developer,job,19
93,72,84,62,76,89,83,69,85,3,3,yes,no,python,database security,yes,excellent,excellent,Management,cloud computing,higherstudies,18
94,94,86,91,80,93,73,71,90,2,1,no,no,python,testing,yes,excellent,medium,programming,system developer,higherstudies,13
80,91,63,87,80,90,87,85,78,6,4,no,no,machine learning,cloud computing,no,poor,excellent,networks,system developer,higherstudies,30
92,70,61,63,88,72,77,71,79,2,5,yes,no,machine learning,testing,yes,medium,medium,networks,Business process analyst,job,26
92,81,85,78,67,78,71,70,87,7,2,yes,no,r programming,cloud computing,no,poor,medium,Computer Architecture,testing,higherstudies,32
77,87,61,72,63,87,80,93,71,6,3,no,yes,full stack,web technologies,yes,medium,excellent,data engineering,Business process analyst,job,21
65,64,75,67,70,65,66,82,90,1,3,no,no,r programming,hacking,yes,excellent,medium,Management,testing,higherstudies,14
73,93,68,73,82,78,88,84,78,4,1,no,yes,distro making,cloud computing,yes,poor,poor,programming,Business process analyst,job,15
62,77,64,94,91,77,88,69,62,7,2,no,yes,distro making,hacking,yes,medium,medium,Computer Architecture,security,higherstudies,22
61,79,79,85,83,85,92,80,63,1,6,no,yes,python,testing,yes,medium,excellent,programming,system developer,higherstudies,16
60,93,75,81,65,94,84,65,64,6,8,no,no,machine learning,cloud computing,no,excellent,excellent,Software Engineering,system developer,job,10
60,69,93,87,68,83,91,77,94,1,7,yes,no,app development,hacking,no,excellent,poor,Computer Architecture,system developer,job,29
82,68,84,87,86,87,62,70,94,7,9,no,no,python,hacking,yes,medium,excellent,Management,cloud computing,job,25
87,94,73,79,94,61,88,84,88,8,5,yes,no,python,data science,yes,poor,poor,programming,cloud computing,higherstudies,13
69,77,67,90,66,92,63,69,90,4,6,no,no,hadoop,web technologies,no,excellent,medium,Computer Architecture,testing,job,26
70,74,89,76,69,76,84,82,82,4,4,yes,no,app development,system designing,yes,poor,poor,programming,system developer,job,25
67,78,80,89,75,63,89,60,88,4,2,yes,no,full stack,hacking,yes,medium,excellent,Management,system developer,higherstudies,19
72,84,71,62,88,83,74,84,92,8,4,no,yes,shell programming,testing,no,excellent,medium,networks,Business process analyst,higherstudies,22
85,83,65,69,84,85,79,75,88,8,4,no,no,information security,game development,yes,poor,poor,programming,security,job,27
73,83,81,92,93,92,93,67,66,5,6,yes,no,app development,game development,no,medium,medium,programming,system developer,job,33
87,67,63,64,60,68,94,74,84,9,4,yes,no,full stack,testing,yes,excellent,poor,Computer Architecture,Business process analyst,higherstudies,21
93,67,67,73,71,84,76,72,72,3,3,no,yes,r programming,cloud computing,yes,medium,medium,Software Engineering,testing,higherstudies,20
85,76,93,89,60,65,81,84,91,6,8,no,yes,r programming,web technologies,yes,excellent,poor,networks,Business process analyst,higherstudies,0
86,81,61,78,73,88,71,61,69,3,7,no,no,python,hacking,yes,medium,medium,Management,cloud computing,job,31
88,73,81,61,63,76,62,93,79,1,1,yes,no,python,system designing,yes,excellent,poor,programming,cloud computing,higherstudies,5
83,91,91,85,71,73,77,94,74,8,7,yes,no,machine learning,web technologies,no,excellent,excellent,Management,Business process analyst,higherstudies,7
71,88,76,79,65,91,68,75,72,8,1,yes,yes,information security,testing,no,poor,poor,IOT,testing,job,25
69,90,74,72,65,68,75,84,93,7,7,yes,yes,app development,testing,yes,excellent,excellent,cloud computing,testing,higherstudies,15
90,79,71,86,75,88,76,87,92,9,1,no,no,shell programming,database security,yes,poor,excellent,cloud computing,system developer,job,23
74,91,88,65,85,68,93,70,83,6,9,yes,no,app development,database security,no,excellent,excellent,programming,security,job,4
74,76,72,86,75,67,87,92,63,3,5,no,yes,r programming,web technologies,no,poor,poor,Management,testing,higherstudies,18
65,84,84,86,86,65,78,69,80,1,7,yes,yes,machine learning,data science,yes,poor,medium,cloud computing,testing,higherstudies,17
86,69,88,85,66,64,70,92,86,2,5,no,no,r programming,web technologies,yes,poor,poor,Computer Architecture,security,higherstudies,19
62,80,88,61,94,68,72,65,74,2,6,yes,yes,shell programming,game development,no,poor,poor,Software Engineering,Business process analyst,higherstudies,9
86,72,74,90,67,71,78,84,61,1,5,no,no,app development,game development,yes,medium,poor,programming,system developer,higherstudies,16
68,89,71,77,92,87,89,71,64,2,6,no,no,shell programming,hacking,yes,excellent,medium,Management,testing,higherstudies,31
77,66,75,84,91,62,78,74,78,6,7,yes,no,r programming,system designing,no,poor,poor,IOT,Business process analyst,job,7
79,92,78,75,83,62,63,81,66,6,7,no,no,full stack,game development,yes,poor,excellent,hacking,developer,higherstudies,26
93,91,79,62,80,87,84,78,61,9,8,no,no,app development,testing,yes,medium,medium,parallel computing,system developer,job,5
78,77,66,74,66,80,61,73,77,4,6,yes,no,information security,hacking,yes,medium,excellent,networks,Business process analyst,job,22
84,70,72,69,77,77,62,86,65,3,1,no,no,shell programming,database security,yes,medium,poor,data engineering,developer,higherstudies,18
73,82,81,73,88,78,70,64,75,8,4,no,yes,r programming,hacking,yes,medium,poor,Computer Architecture,Business process analyst,higherstudies,1
79,76,85,83,93,61,61,67,75,1,4,yes,yes,r programming,cloud computing,no,excellent,medium,networks,security,higherstudies,28
93,85,60,75,69,84,82,65,88,9,6,no,no,machine learning,data science,no,poor,excellent,hacking,system developer,job,17
65,87,93,64,82,62,79,60,78,2,2,yes,no,information security,game development,yes,excellent,medium,Software Engineering,security,higherstudies,2
67,67,75,87,86,94,61,94,87,5,5,no,no,hadoop,data science,yes,medium,excellent,IOT,cloud computing,higherstudies,1
94,70,61,66,66,61,74,90,80,6,4,no,no,information security,system designing,no,medium,excellent,Management,system developer,job,33
94,82,62,75,76,71,63,65,74,7,1,yes,yes,distro making,testing,no,medium,excellent,parallel computing,cloud computing,job,32
90,92,92,83,81,84,66,81,89,3,7,no,no,r programming,hacking,yes,excellent,poor,hacking,testing,job,3
81,68,82,93,79,73,85,87,84,5,3,no,yes,app development,data science,no,excellent,excellent,Software Engineering,testing,higherstudies,7
73,66,71,73,60,87,61,73,88,7,5,yes,yes,information security,data science,no,excellent,excellent,Management,system developer,job,18
77,73,66,74,73,71,88,74,76,8,8,no,yes,hadoop,data science,yes,poor,medium,data engineering,developer,higherstudies,13
77,77,63,63,90,64,78,93,69,3,8,yes,yes,information security,game development,yes,poor,excellent,networks,security,higherstudies,20
